"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,822,457","100"
"2","www.google.com","12,136,464","100"
"3","apple.com","4,596,189","100"
"4","docs.google.com","2,273,728","99"
"5","play.google.com","2,384,416","99"
"6","support.google.com","4,580,761","99"
"7","www.blogger.com","25,288,109","99"
"8","microsoft.com","4,609,617","99"
"9","cloudflare.com","5,238,380","98"
"10","wordpress.org","9,972,504","98"
"11","adobe.com","2,851,838","98"
"12","maps.google.com","4,378,830","98"
"13","plus.google.com","11,782,618","98"
"14","linkedin.com","8,906,040","98"
"15","en.wikipedia.org","5,473,356","98"
"16","sites.google.com","1,697,912","97"
"17","googleusercontent.com","2,160,993","97"
"18","mozilla.org","1,956,591","97"
"19","accounts.google.com","2,533,376","97"
"20","europa.eu","1,685,403","97"
"21","drive.google.com","1,795,823","97"
"22","youtu.be","3,938,310","97"
"23","vimeo.com","3,113,648","97"
"24","amazon.com","4,016,449","96"
"25","es.wikipedia.org","778,210","96"
"26","creativecommons.org","1,556,986","96"
"27","facebook.com","45,662,160","96"
"28","medium.com","1,136,318","96"
"29","vk.com","1,591,808","96"
"30","istockphoto.com","3,093,881","96"
"31","bp.blogspot.com","15,974,223","96"
"32","github.com","2,020,758","96"
"33","bbc.co.uk","1,419,468","96"
"34","line.me","611,886","96"
"35","imdb.com","1,228,512","95"
"36","mail.ru","477,011","95"
"37","google.co.uk","542,211","95"
"38","news.google.com","688,392","95"
"39","www.yahoo.com","915,967","95"
"40","nih.gov","1,057,930","95"
"41","dailymotion.com","1,067,151","95"
"42","theguardian.com","1,202,901","95"
"43","google.fr","381,146","95"
"44","get.google.com","629,656","95"
"45","developers.google.com","908,039","95"
"46","buydomains.com","1,139,188","95"
"47","feedburner.com","1,729,093","95"
"48","reuters.com","731,642","95"
"49","myspace.com","1,249,837","95"
"50","dropbox.com","936,157","95"
"51","whatsapp.com","1,838,718","95"
"52","google.co.jp","629,778","95"
"53","forbes.com","1,153,376","95"
"54","bbc.com","671,587","95"
"55","cnn.com","1,227,860","95"
"56","t.me","537,491","95"
"57","jimdofree.com","1,657,318","95"
"58","google.es","414,055","95"
"59","slideshare.net","877,121","95"
"60","gstatic.com","584,411","95"
"61","aliexpress.com","439,616","95"
"62","photos.google.com","231,058","95"
"63","mail.google.com","439,061","95"
"64","nytimes.com","1,691,228","95"
"65","w3.org","1,059,960","95"
"66","uol.com.br","562,132","95"
"67","fr.wikipedia.org","539,866","95"
"68","pt.wikipedia.org","358,428","95"
"69","msn.com","988,158","95"
"70","hugedomains.com","4,997,096","95"
"71","wikimedia.org","1,371,293","95"
"72","policies.google.com","1,124,301","95"
"73","google.de","1,089,483","95"
"74","live.com","737,295","95"
"75","google.com.br","263,579","95"
"76","globo.com","383,823","95"
"77","paypal.com","910,255","95"
"78","who.int","2,072,594","95"
"79","harvard.edu","589,037","94"
"80","office.com","351,450","94"
"81","opera.com","757,796","94"
"82","themeforest.net","507,185","94"
"83","huffingtonpost.com","877,555","94"
"84","nasa.gov","551,682","94"
"85","rt.com","231,187","94"
"86","steampowered.com","217,420","94"
"87","bit.ly","4,062,576","94"
"88","id.wikipedia.org","410,267","94"
"89","amazon.co.jp","775,226","94"
"90","news.yahoo.com","573,696","94"
"91","samsung.com","305,150","94"
"92","wsj.com","804,664","94"
"93","youronlinechoices.com","512,263","94"
"94","aboutads.info","490,486","94"
"95","un.org","422,260","94"
"96","elpais.com","325,477","94"
"97","telegram.me","272,611","94"
"98","abcnews.go.com","474,689","94"
"99","picasaweb.google.com","611,486","94"
"100","time.com","616,391","94"
"101","fandom.com","429,182","94"
"102","google.it","409,137","94"
"103","aol.com","657,919","94"
"104","fb.com","358,048","94"
"105","bing.com","893,715","94"
"106","wired.com","536,213","94"
"107","android.com","264,666","94"
"108","de.wikipedia.org","592,858","94"
"109","pinterest.com","7,198,770","94"
"110","independent.co.uk","521,200","94"
"111","dailymail.co.uk","779,866","94"
"112","telegraph.co.uk","775,698","94"
"113","hatena.ne.jp","1,456,100","94"
"114","thesun.co.uk","256,005","94"
"115","translate.google.com","274,663","94"
"116","webmd.com","552,772","94"
"117","ft.com","353,504","94"
"118","cpanel.com","1,253,812","94"
"119","search.google.com","969,433","94"
"120","ipv4.google.com","352,110","94"
"121","www.gov.uk","488,728","94"
"122","cdc.gov","662,509","94"
"123","code.google.com","321,284","94"
"124","privacyshield.gov","421,470","94"
"125","twitter.com","48,338,427","94"
"126","washingtonpost.com","873,429","94"
"127","wikia.com","459,281","94"
"128","books.google.com","346,673","94"
"129","abril.com.br","225,725","94"
"130","draft.blogger.com","9,271,565","94"
"131","files.wordpress.com","1,988,748","94"
"132","mediafire.com","764,161","94"
"133","rakuten.co.jp","586,431","94"
"134","tools.google.com","1,502,359","94"
"135","booking.com","353,486","94"
